Technically possible output frequencies (fcw) of integrated cosine waveform (CW) Generator:
(with definition SW_FSTEP_MAX=256, default value 0 for RTC_CNTL_CK8M_DIV_SEL stays untouched)

setCwFrequency(): ftarget=197, fcw=244, abs(delta)=47, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=198, fcw=244, abs(delta)=46, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=199, fcw=244, abs(delta)=45, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=200, fcw=244, abs(delta)=44, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=201, fcw=244, abs(delta)=43, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=202, fcw=244, abs(delta)=42, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=203, fcw=244, abs(delta)=41, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=204, fcw=244, abs(delta)=40, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=205, fcw=244, abs(delta)=39, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=206, fcw=244, abs(delta)=38, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=207, fcw=244, abs(delta)=37, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=208, fcw=244, abs(delta)=36, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=209, fcw=244, abs(delta)=35, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=210, fcw=244, abs(delta)=34, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=211, fcw=244, abs(delta)=33, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=212, fcw=244, abs(delta)=32, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=213, fcw=244, abs(delta)=31, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=214, fcw=244, abs(delta)=30, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=215, fcw=244, abs(delta)=29, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=216, fcw=244, abs(delta)=28, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=217, fcw=244, abs(delta)=27, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=218, fcw=244, abs(delta)=26, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=219, fcw=244, abs(delta)=25, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=220, fcw=244, abs(delta)=24, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=221, fcw=244, abs(delta)=23, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=222, fcw=244, abs(delta)=22, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=223, fcw=244, abs(delta)=21, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
setCwFrequency(): ftarget=224, fcw=244, abs(delta)=20, clk8mDiv=0, frequencyStep=2, stepSize=122.070312
